image_id,source_image,spatial_status,measurement_unit,particle_count,boundary_particle_count,concave_hull_particle_count,analysis_hull_particle_count,analysis_boundary_method,voronoi_cell_count,concave_alpha,mean_voronoi_area_px2,std_voronoi_area_px2,median_voronoi_area_px2,median_voronoi_ci_low_px2,median_voronoi_ci_high_px2,q1_voronoi_area_px2,q3_voronoi_area_px2,voronoi_cv_percent,spatial_uniformity_index,hdbscan_available,requested_min_cluster_size,requested_min_samples,effective_min_cluster_size,effective_min_samples,n_clusters,noise_points,clustered_percentage,avg_cluster_size,cluster_fraction
006,data/case_study\006.tif,complete,px,10,10,4,4,convex_hull_with_5px_inward_centroid_filter,4,0.0,137115.33843143997,108920.18646806321,109288.57651456876,47959.385598032844,281924.8150985895,55995.62596398087,190408.28898202785,79.43690889296472,0.5572989448879252,True,5,3,4,3,0,4,0.0,0.0,0.0
026,data/case_study\026.tif,complete,px,32,32,24,24,convex_hull_with_5px_inward_centroid_filter,24,0.0,76360.16621323761,45337.35805990446,64960.97237157423,54950.181181857355,79173.0460205559,49862.098549460265,82421.65023959798,59.37304789685606,0.627458665813548,True,5,3,5,3,2,4,83.33333333333334,10.0,0.8333333333333334
066,data/case_study\066.tif,complete,px,8,8,2,2,convex_hull_with_5px_inward_centroid_filter,2,0.0,51708.545396853355,7084.236089664703,51708.545396853355,46699.234018324976,56717.85677538174,49203.889707589165,54213.20108611755,13.700319812314435,0.8795050019654334,True,5,3,5,3,0,8,0.0,0.0,0.0
076,data/case_study\076.tif,complete,px,53,53,44,44,convex_hull_with_5px_inward_centroid_filter,44,0.0,69502.11082890752,37681.39306183159,64051.367205437564,48243.11541538581,77630.21946223419,43132.897990213954,90249.01710674031,54.21618510924281,0.6484403691425938,True,5,3,5,3,3,15,65.9090909090909,9.666666666666666,0.6590909090909092
