image_id,n_particles,n_individual,n_aggregate,individual_percent,aggregate_percent,projected_area_min_px2,projected_area_max_px2,projected_area_mean_px2,projected_area_median_px2,projected_area_omitted_above_35000_px2,n_PF,PF_SUI,PF_area_min_px2,PF_area_max_px2,PF_area_mean_px2,PF_area_std_px2,PF_area_median_px2,PF_area_q1_px2,PF_area_q3_px2,PF_area_median_ci_low_px2,PF_area_median_ci_high_px2,PF_area_omitted_above_200000_px2
006,10,9,1,90.0,10.0,6653.0,20501.0,11169.9,10285.0,0,4,0.5572989448879252,47959.385598032844,281924.8150985895,137115.33843143997,108920.18646806321,109288.57651456876,55995.62596398087,190408.28898202785,47959.385598032844,281924.8150985895,1
026,32,32,0,100.0,0.0,2701.0,37234.0,12463.71875,10052.5,1,24,0.627458665813548,20364.19319072899,215185.3560906901,76360.16621323761,45337.35805990446,64960.97237157423,49862.098549460265,82421.65023959798,54950.181181857355,79173.0460205559,1
066,8,8,0,100.0,0.0,10915.0,16163.0,12668.5,12015.0,0,2,0.8795050019654334,46699.234018324976,56717.85677538174,51708.545396853355,7084.236089664703,51708.545396853355,49203.889707589165,54213.20108611755,46699.234018324976,56717.85677538174,0
076,53,45,8,84.90566037735849,15.09433962264151,2912.0,366550.0,14526.283018867925,7002.0,2,44,0.6484403691425938,10197.346247833058,168644.05982484913,69502.11082890752,37681.39306183159,64051.367205437564,43132.897990213954,90249.01710674031,48243.11541538581,77630.21946223419,0
